    Time         Eth-MAC-SRC       Eth-MAC-DST      OP       ARP-MAC-SRC     ARP-IP-SRC    ARP-MAC-DST     ARP-IP-DST
34.1597480774 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
39.8867740631 54:e6:fc:c7:5b:e5 ff:ff:ff:ff:ff:ff who-has 54:e6:fc:c7:5b:e5 10.1.200.184 00:00:00:00:00:00 10.1.200.184
40.1950809956 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
40.6035890579 00:1c:c0:b9:7e:96 ff:ff:ff:ff:ff:ff who-has 00:1c:c0:b9:7e:96 10.1.100.10 00:00:00:00:00:00 10.1.100.53
41.2169320583 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
41.62667799 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
42.2406799793 c8:d7:19:b7:33:d2 ff:ff:ff:ff:ff:ff who-has c8:d7:19:b7:33:d2 10.1.200.60 00:00:00:00:00:00 10.0.0.253
42.3482019901 00:1c:c0:f7:a9:d4 ff:ff:ff:ff:ff:ff who-has 00:1c:c0:f7:a9:d4 10.1.11.70 00:00:00:00:00:00 10.1.11.15
42.4452869892 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
43.4694230556 48:5b:39:c6:3b:c6 ff:ff:ff:ff:ff:ff who-has 48:5b:39:c6:3b:c6 10.1.100.56 00:00:00:00:00:00 10.1.100.175
